,x_gt_1,x_gt_2,x_gt_3,x_gt_4,x_gt_5,y_gt
0,-0.9083126418507033,0.8250318553458039,-0.7493868641401344,0.8250318553458039,-0.9083126418507033,0.20140705451016605
1,-0.8799213188398894,0.7742615273489304,-0.6812892242718579,0.7742615273489304,-0.8799213188398894,0.38801784114216264
2,-0.851046245290917,0.7242797116237677,-0.6163955291177956,0.7242797116237677,-0.851046245290917,0.5635904898307267
3,-0.7380059926580711,0.5446528451992249,-0.4019570636752967,0.5446528451992249,-0.7380059926580711,1.1198196283875221
4,-0.6633019345622493,0.4399694563940224,-0.29183259157445623,0.4399694563940224,-0.6633019345622493,1.3803854119625623
5,-0.6111420498239656,0.37349460506303844,-0.2282582585364178,0.37349460506303844,-0.6111420498239656,1.5157912930047752
6,-0.5598579129975597,0.31344088274598314,-0.17548235846227894,0.31344088274598314,-0.5598579129975597,1.6139860773450154
7,-0.5453805289945731,0.2974399214064004,-0.16221794168072692,0.2974399214064004,-0.5453805289945731,1.635716889969101
8,-0.41902774169349705,0.17558424830875208,-0.07357467104576661,0.17558424830875208,-0.41902774169349705,1.7219780508485703
9,-0.42290393628177964,0.17884773932262352,-0.07563541295463512,0.17884773932262352,-0.42290393628177964,1.721927797813504
10,-0.31111749972198827,0.09679409863326137,-0.030114337954623798,0.09679409863326137,-0.31111749972198827,1.6644784570128826
11,-0.30037749863209384,0.09022664168447354,-0.027102052939156372,0.09022664168447354,-0.30037749863209384,1.6529240801794434
12,-0.25307698559731273,0.06404796063902243,-0.016209064812179135,0.06404796063902243,-0.25307698559731273,1.5906123734834456
13,-0.16548107903222226,0.027383987517668587,-0.004531531802628703,0.027383987517668587,-0.16548107903222226,1.430346432554758
14,-0.05884901844709309,0.0034632069721863027,-0.00020380633099229312,0.0034632069721863027,-0.05884901844709309,1.169111125569426
15,-0.053814717043606984,0.002896023770483484,-0.00015584869976012852,0.002896023770483484,-0.053814717043606984,1.1552624818404535
16,-0.013416793946143268,0.00018001035979326664,-2.4151619055173715e-06,0.00018001035979326664,-0.013416793946143268,1.0398843232140795
17,0.10412729118214849,0.010842492768931938,0.0011289994016909154,0.010842492768931938,0.10412729118214849,0.668755639419918
18,0.16051741926832475,0.02576584188856315,0.004135866445227856,0.02576584188856315,0.16051741926832475,0.4772557245309691
19,0.22138849974643343,0.049012867819976554,0.010850885274934855,0.049012867819976554,0.22138849974643343,0.2649359783080838
20,0.29221033551866227,0.08538688018392918,0.024950928907437758,0.08538688018392918,0.29221033551866227,0.014972555344749242
21,0.35442979556471443,0.12562047998404527,0.044523641039486465,0.12562047998404527,0.35442979556471443,-0.20322124406351766
